ProductKey,ProductID,ProductName,Category,Stock,UnitPrice,SalesPrice
1,MMI001,Fender Player Stratocaster,Guitars,112,673.25,1299.0
2,MMI002,Fender Player Telecaster,Guitars,280,524.68,1199.0
3,MMI003,Gibson Les Paul Studio,Guitars,116,1525.53,2799.0
4,MMI004,PRS SE Custom 24,Guitars,81,889.74,1599.0
5,MMI005,Yamaha Pacifica 112V,Guitars,198,191.09,499.0
6,MMI006,Taylor GS Mini,Guitars,30,400.35,949.0
7,MMI007,Martin D-15M,Guitars,112,1217.9,2399.0
8,MMI008,Epiphone Casino,Guitars,131,576.75,1199.0
9,MMI009,Squier Classic Vibe 60s Strat,Guitars,224,398.69,799.0
10,MMI010,Ibanez RG450DX,Guitars,97,336.16,749.0
11,MMI011,Fender Player Jazz Bass,Basses,109,773.32,1399.0
12,MMI012,Fender Player Precision Bass,Basses,161,710.12,1299.0
13,MMI013,Music Man StingRay Special,Basses,140,2015.34,3999.0
14,MMI014,Ibanez SR300E,Basses,159,368.39,649.0
15,MMI015,Squier Classic Vibe 70s Jazz Bass,Basses,267,421.91,799.0
16,MMI016,Yamaha TRBX304,Basses,201,291.04,649.0
17,MMI017,Yamaha P-125 Digital Piano,Keyboards,286,521.6,999.0
18,MMI018,Korg B2SP Digital Piano,Keyboards,170,530.52,1199.0
19,MMI019,Roland FP-30X,Keyboards,31,773.24,1399.0
20,MMI020,Arturia KeyLab 61 MKII,Keyboards,262,581.0,1169.0
21,MMI021,Novation Launchkey 49 MK3,Keyboards,245,195.07,399.0
22,MMI022,Korg Minilogue XD,Keyboards,58,550.51,1199.0
23,MMI023,Moog Subsequent 37,Keyboards,68,1719.48,2999.0
24,MMI024,Yamaha Stage Custom Birch 5pc,Drums,179,735.6,1499.0
25,MMI025,Pearl Export 5pc,Drums,197,663.55,1399.0
26,MMI026,Roland TD-17KVX V-Drums,Drums,280,1340.36,2799.0
27,MMI027,Alesis Nitro Mesh Kit,Drums,199,425.02,799.0
28,MMI028,Ludwig Black Beauty Snare 14x6.5,Drums,184,730.18,1399.0
29,MMI029,"Zildjian A Custom Crash 18""",Drums,60,209.38,399.0
30,MMI030,Shure SM58 Microphone,Pro Audio,64,88.87,169.0
31,MMI031,Shure SM7B Microphone,Pro Audio,253,502.17,799.0
32,MMI032,Rode NT1 Kit,Pro Audio,140,204.04,429.0
33,MMI033,Focusrite Scarlett 2i2 3rd Gen,Pro Audio,144,140.31,299.0
34,MMI034,Universal Audio Apollo Twin X,Pro Audio,30,766.54,1699.0
35,MMI035,Yamaha HS8 Studio Monitor (Single),Pro Audio,176,241.09,449.0
36,MMI036,KRK Rokit 5 G4 (Single),Pro Audio,283,158.4,279.0
37,MMI037,Sennheiser HD650 Headphones,Pro Audio,98,369.38,749.0
38,MMI038,Yamaha YAS-280 Alto Saxophone,Orchestral,23,808.81,1799.0
39,MMI039,Yamaha YFL-222 Flute,Orchestral,251,450.08,999.0
40,MMI040,Jean Paul TR-430 Trumpet,Orchestral,274,322.88,599.0
41,MMI041,Stentor Student II Violin 4/4,Orchestral,62,244.52,449.0
42,MMI042,Cello 4/4 Student Outfit,Orchestral,101,638.57,1199.0
43,MMI043,Ernie Ball Regular Slinky 10-46 (3-Pack),Accessories,273,17.94,39.0
44,MMI044,D'Addario NYXL 9-42 (3-Pack),Accessories,44,30.32,59.0
45,MMI045,Kyser Quick-Change Capo,Accessories,215,24.84,49.0
46,MMI046,Boss TU-3 Chromatic Tuner,Accessories,90,86.72,169.0
47,MMI047,Fender Deluxe Gig Bag,Accessories,59,65.72,119.0
48,MMI048,Hercules GS414B Plus Guitar Stand,Accessories,11,45.69,89.0
49,MMI049,Elixir Nanoweb Acoustic 12-53,Accessories,63,18.93,35.0
50,MMI050,DW 5000 Bass Drum Pedal,Accessories,115,251.52,499.0
51,MMI051,Vic Firth 5A Sticks (Pair),Accessories,269,11.38,22.0
52,MMI052,Planet Waves Instrument Cable 10ft,Accessories,200,15.6,29.0
53,MMI053,Yamaha Keyboard Stand,Accessories,227,53.22,129.0
54,MMI054,Fender Player Stratocaster HSS,Guitars,48,624.58,1299.0
55,MMI055,Ibanez RG550,Guitars,38,754.37,1599.0
56,MMI056,Roland SPD-SX Pro,Drums,78,784.37,1699.0
57,MMI057,Behringer X32 Compact,Pro Audio,66,1595.04,3299.0
58,MMI058,Nord Stage 3 88,Keyboards,18,4127.29,6999.0
59,MMI059,Boss RC-505MKII Loop Station,Pro Audio,52,447.6,999.0
